Partner Name,American Express MIDs,MasterCard MIDs,Visa MIDs,"Address (Building Name/Number Street)",Postcode,Town/City,County/State,Country,Action,Scheme,Scheme ID
PizzaExpress,9421608514,5415922,5415922,16/18 South Methven Street Perth Scotland,PH1 5PE,Perth,,,A,avios,133
PizzaExpress,9421608571,5403563,5403563,40 Howardsgate Welwyn Garden City Hertfordshire,AL8 6BJ,Welwyn Garden City,,,A,avios,133
PizzaExpress,9421864455,5402755,5402755,2-10 Regent Street Clifton Bristol,BS8 4HG,Bristol,,,A,avios,133
PizzaExpress,9421930579,5413356,5413356,142-144 Ashley Road Hale Cheshire,WA15 9SA,Hale,,,A,avios,133
PizzaExpress,9421643545,5413828,5413828,117a King Street Knutsford Cheshire,WA16 6EH,Knutsford,,,A,avios,133
PizzaExpress,9421656323,5413976,5413976,Town Wharf Neward Nottinghamshire,NG24 1EU,Newark,,,A,avios,133
PizzaExpress,9421643727,5413109,5413109,74 High Street Stourbridge West Midlands,DY8 1DX,Stourbridge,,,A,avios,133
PizzaExpress,9421653643,5413349,5413349,8-12 Wood Street Bolton Lancashire,BL1 1DY,Bolton,,,A,avios,133
PizzaExpress,9423995059,5413042,5413042,153-155 High Sreet Harborne Birmingham,B17 9QE,Harborne,,,A,avios,133
PizzaExpress,9421653700,5403027,5403027,99 High Holborn London,WC1V 6LF,London,,,A,avios,133
PizzaExpress,9421653528,5409701,5409701,16 London Road Sunningdale Berkshire,SL5 0DH,Sunningdale,,,A,avios,133
PizzaExpress,9421653767,5403332,5403332,4-6 Church Street Grenwich London,SE10 9BG,Greenwich,,,A,avios,133
PizzaExpress,9421653940,5410022,5410022,Unit 3 The White House 9c Belvedere Road London,SE1 8YP,London,,,A,avios,133
PizzaExpress,9421653825,5410030,5410030,49-51 Curtain Road London,EC2A 3PT,London,,,A,avios,133
PizzaExpress,9421658626,5413299,5413299,1 Saturday Market Place Kings Lynn Norfolk,PE30 5DQ,Kings Lynn,,,A,avios,133
PizzaExpress,9423995117,5402623,5402623,6 Derngate Northampton,NN1 1UB,Northampton,,,A,avios,133
PizzaExpress,9421656877,5410410,5410410,1 Boscawen Street The Coinage Hall Truro Cornwall,TR1 2QU,Truro,,,A,avios,133
PizzaExpress,9421699802,5413091,5413091,3 Market Square Stafford,ST16 2JH,Stafford,,,A,avios,133
PizzaExpress,9421657115,5403324,5403324,2nd Floor Cabot Place East Canary Wharf London,E14 4QT,Canary Wharf,,,A,avios,133
PizzaExpress,9421692922,5413539,5413539,52 Harbour Parade Ramsgate Kent,CT11 8LW,Ramsgate,,,A,avios,133
PizzaExpress,9421692864,5403472,5403472,58 Kingsbury Aylesbury Buckinghamshire,HP20 2JE,Aylesbury,,,A,avios,133
PizzaExpress,9421577008,5410469,5410469,29 Market Square Bicester Oxfordshire,OX26 6AG,Bicester,,,A,avios,133
PizzaExpress,9421577123,5403340,5403340,78-80 Wapping Lane Wapping London,E1W 2RT,Wapping,,,A,avios,133
PizzaExpress,9421658741,5403365,5403365,21 Lowther Street Carlisle Cumbria,CA3 8ES,Carlisle,,,A,avios,133
PizzaExpress,9421387713,5410733,5410733,96-98 Street Lane Leeds Yorkshire,LS8 2AL,Leeds,,,A,avios,133
PizzaExpress,9421658683,5413521,5413521,153-155 Station Road East Oxted Surrey,RH8 0QE,Oxted,,,A,avios,133
PizzaExpress,9421658808,5403209,5403209,104 The Broadway Wimbledon London,SW19 1RH,Wimbledon,,,A,avios,133
PizzaExpress,9421388109,5410709,5410709,125 High Street Gosforth Tyne and Wear,NE3 1NA,Gosforth,,,A,avios,133
PizzaExpress,9421393455,5410154,5410154,80 High Street Slough Berkshire,SL1 1EL,Slough,,,A,avios,133
PizzaExpress,9421393398,5403282,5403282,40 Stafford Road Wallington Surrey,SM6 9AA,Wallington,,,A,avios,133
PizzaExpress,9421393513,5410139,5410139,17 Market Place Newbury Berkshire,RG14 5AA,Newbury,,,A,avios,133
PizzaExpress,9421666710,5413950,5413950,56 Peter Street Manchester,M2 3NQ,Manchester,,,A,avios,133
PizzaExpress,9427683727,5410295,5410295,37 High Street Marlborough Wiltshire,SN8 1LW,Marlborough,,,A,avios,133
PizzaExpress,9427653084,5413075,5413075,55 Mardol Shrewsbury Shropshire,SY1 1PP,Shrewsbury,,,A,avios,133
PizzaExpress,9421666777,5403555,5403555,The Lodge 3 Church Street Luton Bedfordshire,LU1 3JE,Luton,,,A,avios,133
PizzaExpress,9421667775,5403449,5403449,2 McArthur Glen Designer Outlet Almondvale Livingston West Lothian,EH54 6QP,Livingston,,,A,avios,133
PizzaExpress,9428452437,5413737,5413737,Clifton House 93-99 Euston Road London,NW1 2RA,London,,,A,avios,133
PizzaExpress,9421667890,5413786,5413786,Salisbury House Finsbury Circus London,EC2M 5SQ,London,,,A,avios,133
